DIA MBL-R5 MBL-R4S MBL-R4 MBL-R3S MBL-R3 MBL-API DIA MPL-R5 MPL-R4S MPL-R4 MPL-R3S MPL-R3 MPL-API DIA Weight
50 3200 NaN  NaN  NaN  NaN  2110  50 NaN  NaN  NaN  NaN  NaN  1400  50 50
60 4516 NaN  NaN  NaN  NaN  2978  60 NaN  NaN  NaN  NaN  NaN  1976  60 72  
65 5246 NaN  NaN  NaN  NaN  3459  65 NaN  NaN  NaN  NaN  NaN  2295  65 84.5 
68 5706 5420 4885 4440 3976 3762 68 4475 4279 3851 3209 2782 2496 68 100
70 6021 5720 5156 4685 4196 3970 70 4723 4516 4064 3387 2935 2634 70 107 
73 6507 6182 5572 5064 4535 4291 73 5104 4881 4392 3660 3172 2847 73 117 
76 7009 6658 6001 5454 4884 4621 76 5498 5257 4731 3942 3417 3066 76 126 
78 7351 6984 6295 5720 5123 4847 78 5766 5514 4962 4135 3584 3216 78 133
81 7877 7484 6745 6130 5490 5194 81 6179 5908 5317 4431 3840 3446 81 144 
84 8418 7997 7208 6550 5866 5550 84 6602 6313 5682 4735 4104 3683 84 155 
87 8971 8523 7682 6981 6252 5916 87 7037 6729 6056 5046 4374 3925 87 166 
90 9539 9062 8167 7422 6647 6289 90 7482 7154 6439 5365 4650 4173 90 177 
92 9924 9428 8497 7722 6916 6544 92 7784 7443 6699 5582 4838 4342 92 185
95 10512 9987 9001 8180 7326 6932 95 8246 7884 7096 5913 5125 4599 95 198 
97 10911 10366 9343 8490 7604 7195 97 8559 8184 7365 6138 5319 4774 97 206 
100 11520 10944 9864 8964 8028 7596 100 9036 8640 7776 6480 5616 5040 100 219 
102 11932 11336 10217 9285 8315 7868 102 9359 8949 8054 6712 5817 5220 102 228 
105 12560 11932 10754 9773 8753 8282 105 9851 9420 8478 7065 6123 5495 105 241
107 12984 12335 11118 10103 9048 8561 107 10184 9738 8764 7304 6330 5681 107 251 
111 13847 13154 11856 10775 9650 9130 111 10861 10385 9347 7789 6750 6058 111 270 
114 14506 13780 12420 11287 10109 9565 114 11378 10879 9791 8159 7071 6346 114 285 
117 15174 14415 12993 11807 10574 10005 117 11902 11380 10242 8535 7397 6639 117 300 
120 15852 15059 13573 12334 11047 10452 120 12434 11889 10700 8916 7728 6935 120 315
122 16308 15493 13964 12690 11365 10753 122 12792 12231 11008 9173 7950 7135 122 326 
124 16768 15930 14358 13048 11686 11057 124 13153 12576 11319 9432 8175 7336 124 337 
127 17466 16592 14955 13591 12171 11516 127 13700 13099 11789 9824 8515 7641 127 353 
130 18171 17262 15559 14139 12663 11981 130 14253 13628 12265 10221 8858 7950 130 370 
132 18645 17713 15965 14508 12993 12294 132 14625 13984 12585 10488 9089 8157 132 382
137 19844 18852 16992 15441 13829 13085 137 15565 14883 13395 11162 9674 8682 137 411 
142 21061 20008 18033 16388 14677 13887 142 16520 15796 14216 11847 10267 9214 142 442 
147 22294 21179 19089 17347 15536 14700 147 17487 16720 15048 12540 10868 9753 147 473 
152 23540 22363 20156 18317 16405 15522 152 18464 17655 15890 13241 11476 10299 152 506 
157 24799 23559 21234 19297 17282 16352 157 19452 18599 16739 13949 12089 10850 157 540
162 26068 24764 22320 20284 18166 17188 162 20447 19551 17596 14663 12708 11405 162 575 
165 26833 25491 22976 20879 18699 17693 165 21047 20125 18112 15094 13081 11739 165 596 
168 27601 26221 23633 21477 19234 18199 168 21649 20701 18631 15525 13455 12075 168 618 
171 28371 26952 24292 22076 19771 18707 171 22253 21278 19150 15959 13831 12412 171 640
175 29400 27930 25174 22877 20488 19386 175 23061 22050 19845 16538 14333 12863 175 671
178 30173 28665 25836 23479 21027 19896 178 23667 22630 20367 16972 14709 13201 178 694 
180 30689 29155 26278 23880 21387 20236 180 24072 23017 20715 17263 14961 13427 180 710 
185 31980 30381 27383 24884 22286 21087 185 25084 23985 21586 17989 15590 13991 185 750 
188 32754 31116 28046 25487 22825 21597 188 25691 24565 22109 18424 15968 14330 188 774 
191 33527 31851 28708 26089 23364 22107 191 26298 25146 22631 18859 16345 14668 191 799
194 34300 32585 29369 26690 23903 22617 194 26904 25725 23152 19294 16721 15006 194 824 
197 35071 33317 30029 27290 24440 23125 197 27509 26303 23673 19727 17097 15344 197 850 
200 35840 34048 30688 27888 24976 23632 200 28112 26880 24192 20160 17472 15680 200 876 
205 37116 35261 31781 28881 25866 24474 205 29113 27837 25054 20878 18094 16238 205 920
